districtname	schoolname	studentgroup	currstatus_ela	currstatus_math
district_7	NA	AA	-24.4	-46.2
district_7	NA	AI	41.8	22.7
district_7	NA	ALL	73.6	77.7
district_7	NA	AS	103.1	120.9
district_7	NA	EL	25	37.2
district_7	NA	ELO	-41	-17.3
district_7	NA	EO	78.9	78.1
district_7	NA	FI	66	46.8
district_7	NA	FOS	NA	NA
district_7	NA	HI	-0.5	-11
district_7	NA	HOM	-56.9	-80.7
district_7	NA	MR	82.1	86.3
district_7	NA	PI	-35.5	-52.2
district_7	NA	RFP	48.5	56.6
district_7	NA	SED	-33.4	-41.1
district_7	NA	SWD	-18	-22.9
district_7	NA	WH	75.1	73.2
district_7	school_04	AA	NA	NA
district_7	school_04	ALL	64.2	57.3
district_7	school_04	AS	67.8	73.8
district_7	school_04	EL	28.1	26.1
district_7	school_04	ELO	-27.8	-8
district_7	school_04	EO	69.7	60.6
district_7	school_04	FI	NA	NA
district_7	school_04	HI	-1.9	-22
district_7	school_04	MR	76	62.5
district_7	school_04	RFP	66.8	49.7
district_7	school_04	SED	-39.7	-49
district_7	school_04	SWD	14.4	9.3
district_7	school_04	WH	75.7	67.2
district_7	school_10	AA	NA	NA
district_7	school_10	ALL	100.7	109.2
district_7	school_10	AS	111.6	118.2
district_7	school_10	EL	68.1	90.5
district_7	school_10	ELO	NA	NA
district_7	school_10	EO	108.9	111.8
district_7	school_10	FI	NA	NA
district_7	school_10	HI	-7.5	9.1
district_7	school_10	MR	126.5	128.5
district_7	school_10	PI	NA	NA
district_7	school_10	RFP	75.6	99.3
district_7	school_10	SED	-26.3	-1.5
district_7	school_10	SWD	18.1	27
district_7	school_10	WH	94.7	97.3
district_7	school_13	AA	NA	NA
district_7	school_13	ALL	61	69.8
district_7	school_13	AS	93.9	98.6
district_7	school_13	EL	9	37.6
district_7	school_13	ELO	-42.9	-7.6
district_7	school_13	EO	65.2	70
district_7	school_13	FI	NA	NA
district_7	school_13	HI	-16.4	7.6
district_7	school_13	MR	71.2	83.4
district_7	school_13	RFP	45.8	70.9
district_7	school_13	SED	-26	0.1
district_7	school_13	SWD	-20.8	9
district_7	school_13	WH	50.3	55.3
district_7	school_01	AA	NA	NA
district_7	school_01	ALL	60.5	62.5
district_7	school_01	AS	76	87.7
district_7	school_01	EL	43.3	54
district_7	school_01	ELO	-16.6	30
district_7	school_01	EO	63.2	63.1
district_7	school_01	HI	23.5	11.9
district_7	school_01	MR	64.2	77.5
district_7	school_01	RFP	63.2	62
district_7	school_01	SED	NA	NA
district_7	school_01	SWD	23	35.8
district_7	school_01	WH	56.1	51.7
district_7	school_07	AA	-40.6	-29.7
district_7	school_07	AI	NA	NA
district_7	school_07	ALL	30.5	26.1
district_7	school_07	AS	64.6	69.3
district_7	school_07	EL	-21.7	-19.5
district_7	school_07	ELO	-72.4	-63.2
district_7	school_07	EO	40.3	34.3
