districtname	schoolname	studentgroup	currstatus_ela	currstatus_math
district_1	NA	AA	-49.5	-73.1
district_1	NA	AI	NA	NA
district_1	NA	ALL	29.7	14.8
district_1	NA	AS	45.9	43.3
district_1	NA	EL	1.8	-5.5
district_1	NA	ELO	-41.6	-36.7
district_1	NA	EO	36.7	18.2
district_1	NA	FI	12.5	-4.8
district_1	NA	FOS	NA	NA
district_1	NA	HI	1.4	-16.8
district_1	NA	HOM	-63.3	-76.4
district_1	NA	MR	38.9	26.7
district_1	NA	PI	-50.4	-70.8
district_1	NA	RFP	60.2	36.3
district_1	NA	SED	-26.6	-37.9
district_1	NA	SWD	-77	-93.5
district_1	NA	WH	51	27.9
district_1	school_12	AA	-89.7	-90.2
district_1	school_12	AI	NA	NA
district_1	school_12	ALL	-50.9	-50.8
district_1	school_12	AS	-37.3	-30
district_1	school_12	EL	-62.9	-51.1
district_1	school_12	ELO	-81.8	-63.7
district_1	school_12	EO	-47.9	-54.4
district_1	school_12	FI	4.8	8.7
district_1	school_12	HI	-30.8	-48
district_1	school_12	HOM	NA	NA
district_1	school_12	MR	-83.3	-61.6
district_1	school_12	PI	NA	NA
district_1	school_12	RFP	55.2	28.2
district_1	school_12	SED	-69.4	-64.9
district_1	school_12	SWD	-159.8	-171.7
district_1	school_12	WH	-52.7	-51.9
district_1	school_09	AA	-126.4	-131.9
district_1	school_09	ALL	-23.6	-22.9
district_1	school_09	AS	-2.6	34.9
district_1	school_09	EL	-38.9	-17.6
district_1	school_09	ELO	-59.2	-39.3
district_1	school_09	EO	-22	-28.8
district_1	school_09	FI	-50.2	-40.7
district_1	school_09	HI	-17.6	-10.5
district_1	school_09	MR	20.5	32.9
district_1	school_09	PI	NA	NA
district_1	school_09	RFP	NA	NA
district_1	school_09	SED	-73.5	-63.1
district_1	school_09	SWD	-112.6	-110.1
district_1	school_09	WH	2.2	-18.3
district_1	school_07	AA	-41.2	-87.3
district_1	school_07	AI	NA	NA
district_1	school_07	ALL	-3	-32.8
district_1	school_07	AS	19.6	7.9
district_1	school_07	EL	-12.5	-48.1
district_1	school_07	ELO	-60.1	-95.4
