districtname	schoolname	studentgroup	currstatus_ela	currstatus_math
district_6	NA	AA	-40.1	-66.2
district_6	NA	AI	-16.9	-55.4
district_6	NA	ALL	-8.4	-26.7
district_6	NA	AS	30.9	15.7
district_6	NA	EL	-45.5	-56.2
district_6	NA	ELO	-87.9	-89.7
district_6	NA	EO	5.9	-15.6
district_6	NA	FI	36.3	20.2
district_6	NA	FOS	-58.6	-79.7
district_6	NA	HI	-25.8	-41.9
district_6	NA	HOM	-36.8	-57.1
district_6	NA	MR	31.9	13.4
district_6	NA	PI	-17.7	-37.8
district_6	NA	RFP	0.8	-19.6
district_6	NA	SED	-28.1	-45
district_6	NA	SWD	-86.8	-104.3
district_6	NA	WH	52.2	31
district_6	school_67	AA	-27.1	-33.7
district_6	school_67	AI	NA	NA
district_6	school_67	ALL	-13.8	-18.9
district_6	school_67	AS	NA	NA
district_6	school_67	EL	-23.2	-21.8
district_6	school_67	ELO	-79.8	-56.7
district_6	school_67	EO	-11.5	-24.1
district_6	school_67	FI	NA	NA
district_6	school_67	FOS	NA	NA
district_6	school_67	HI	-12.9	-17
district_6	school_67	HOM	15.5	6.7
district_6	school_67	MR	NA	NA
district_6	school_67	PI	NA	NA
district_6	school_67	RFP	47.3	21.8
district_6	school_67	SED	-13.5	-18.4
district_6	school_67	SWD	-87.8	-79.8
district_6	school_67	WH	NA	NA
district_6	school_30	AA	-56.5	-41.1
district_6	school_30	ALL	-35.6	-23.4
district_6	school_30	AS	NA	NA
district_6	school_30	EL	-41.4	-23.6
district_6	school_30	ELO	-79.2	-52.3
district_6	school_30	EO	-38.4	-29.8
district_6	school_30	FI	8.8	20.2
district_6	school_30	FOS	NA	NA
district_6	school_30	HI	-36.6	-23.9
district_6	school_30	HOM	-30.1	-20.7
district_6	school_30	MR	NA	NA
district_6	school_30	PI	15.1	21
district_6	school_30	RFP	16.5	20.2
district_6	school_30	SED	-38.7	-25.8
district_6	school_30	SWD	-84.8	-69.5
district_6	school_30	WH	NA	NA
district_6	school_25	AA	-63.7	-112.9
district_6	school_25	AI	NA	NA
district_6	school_25	ALL	-41.8	-75.3
district_6	school_25	AS	-3.9	-26.9
district_6	school_25	EL	-74.7	-101.6
district_6	school_25	ELO	-118.2	-143.2
district_6	school_25	EO	-45.6	-87.2
district_6	school_25	FI	14.3	-15.5
district_6	school_25	FOS	NA	NA
district_6	school_25	HI	-42.4	-73.8
district_6	school_25	HOM	-53.6	-85.3
district_6	school_25	MR	NA	NA
district_6	school_25	PI	-53.6	-66.8
district_6	school_25	RFP	-37.2	-65.2
district_6	school_25	SED	-43.8	-76.7
district_6	school_25	SWD	-123	-171.8
district_6	school_25	WH	NA	NA
district_6	school_48	AA	NA	NA
district_6	school_48	AI	NA	NA
district_6	school_48	ALL	50.2	15.3
district_6	school_48	AS	NA	NA
district_6	school_48	EL	10.6	-19.9
district_6	school_48	ELO	NA	NA
district_6	school_48	EO	63.2	29.4
district_6	school_48	FOS	NA	NA
district_6	school_48	HI	39.6	2
district_6	school_48	HOM	NA	NA
